id,name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours,last_updated
cfa36fc2-d07d-4543-ad2b-cba2342b5e19,Jurong East/8 Jurong Town Hall Road/JTC Summit/Deck B2,1.33115,103.74184,8 Jurong Town Hall Road,Bluecharge,3,TRUE,54,TRUE,2023-06-06 11:41:38.219974
87c82e25-8987-4b5d-a2f1-971f9acd43ba,Ang Mo Kio/Ang Mo Kio Avenue 9/Blk 627,1.382052,103.841393,627 Ang Mo Kio Avenue 9,Bluecharge,2,TRUE,38,TRUE,2023-06-06 11:41:38.219974
f187fb59-76e2-44ae-a1dd-27269434df30,Punggol/Punggol Place/Blk 273/Deck 1,1.402703,103.901963,273 Punggol Place,Bluecharge,0,TRUE,36,TRUE,2023-06-06 11:41:38.219974
80eab064-1e8a-43e3-bae9-b629ee7f8da7,Tampines/Tampines Street 91/Blk 921A/Deck 1A,1.347284,103.941371,921A Tampines Street 91,Bluecharge,4,TRUE,44,TRUE,2023-06-06 11:41:38.219974
3605a94c-21c2-44cc-b236-bb0a4fcd35e1,Jurong East/Jurong East Street 21/Blk 230,1.341813,103.737565,215-230 Jurong East Street 21,Bluecharge,2,TRUE,41,TRUE,2023-06-06 11:41:38.219974
29355372-664f-4836-b9bc-51e08609baf5,Ang Mo Kio/Ang Mo Kio Avenue 6/Blk 123,1.370392,103.844376,123 Ang Mo Kio Avenue 6,Bluecharge,2,TRUE,38,TRUE,2023-06-06 11:41:38.219974
330da7d3-e9f3-49c9-a7f4-62764ccadd8d,Jurong West/Jurong West Street 81/Blk 854A/Deck 1A,1.347775,103.696495,854A Jurong West Street 81,Bluecharge,2,TRUE,50,TRUE,2023-06-06 11:41:38.219974
e24a18f9-91b1-4a7d-9d3a-9b3547985bee,Clementi/Clementi Avenue 2/Blk 334/Beside Caltex,1.314724,103.768296,334 Clementi Avenue 2,Bluecharge,4,TRUE,48,TRUE,2023-06-06 11:41:38.219974
e9da561e-3ab8-4778-bd01-814e7d2a92f0,Bukit Batok/Bukit Batok Street 34/Blk 346,1.362466,103.750963,346 Bukit Batok Street 34,Bluecharge,1,TRUE,41,TRUE,2023-06-06 11:41:38.219974
5dcb26c1-f30d-4197-82d6-b0a982120c05,Tampines/Tampines Street 83/Blk 851,1.353051,103.935061,851 Tampines Street 83,Bluecharge,0,TRUE,35,TRUE,2023-06-06 11:41:38.219974
f84e59a5-c990-4af0-8b33-2269e217ff38,Serangoon/Upper Serangoon View/Blk 476/Deck 3,1.37738,103.903721,476 Upper Serangoon View,Bluecharge,1,TRUE,45,TRUE,2023-06-06 11:41:38.219974
3e8be0d7-69cf-4beb-b324-fcc658abe8da,Bishan/Bishan Street 13/Blk 186,1.349585,103.852838,186 Bishan Street 13,Bluecharge,4,TRUE,31,TRUE,2023-06-06 11:41:38.219974
a86c4aa7-7ae7-4113-804b-c6857a01968d,Geylang/Ubi Avenue 1/Blk 326,1.327319,103.904146,326 Ubi Avenue 1,Bluecharge,0,TRUE,28,TRUE,2023-06-06 11:41:38.219974
803a1d9b-0665-4168-8c26-054600322f76,Geylang/52 Sims Place/Along Sims Place,1.316531,103.880106,52 Sims Place,Bluecharge,2,TRUE,38,TRUE,2023-06-06 11:41:38.219974
8419a992-5c81-4110-9fb6-550ecd5e85e2,Marine Parade/Across 343 Telok Karau Road/Beside St'Patrick's Court,1.308605,103.912432,Across 343 Telok Kurau Road,Bluecharge,0,TRUE,67,TRUE,2023-06-06 11:41:38.219974
36569319-de4b-4683-a30c-16f6c780d02e,Hougang/Hougang Street 92/Blk 941A/Deck 1A,1.374287,103.87912,941A Hougang Street 92,Bluecharge,1,TRUE,42,TRUE,2023-06-06 11:41:38.219974
6e0b26b6-efc3-48d9-b1cd-be9da018079d,Jurong West/Jurong West Street 91/Blk 903,1.339625,103.686256,903 Jurong West Street 91,Bluecharge,0,FALSE,41,TRUE,2023-06-06 11:41:38.219974
4811d9e2-dfbd-4a6b-b4e5-d681608073ad,Toa Payoh/Potong Pasir Avenue 1/Blk 117,1.336558,103.863104,117 Potong Pasir Avenue 1,Bluecharge,4,TRUE,39,TRUE,2023-06-06 11:41:38.219974
f6d55c80-3e3a-485d-adaa-254224e06de4,Yishun/Yishun Ring Road/Blk 165,1.4355487,103.8320274,165 Yishun Ring Road,Bluecharge,2,TRUE,31,TRUE,2023-06-06 11:41:38.219974
ffb3c3fc-b7ae-46bc-a10d-ebf2f97a2ab3,Punggol/Punggol Walk/Blk 213/Deck 1A,1.400134,103.898428,213 Punggol Walk,Bluecharge,0,TRUE,36,TRUE,2023-06-06 11:41:38.219974
