id,id_charger,id_connector_type
69412be2-88da-409d-b1e3-9343ef04aefd,712020e3-6dc0-436e-b679-453c0ba540a4,278328f8-570f-4c7d-ae38-dfd3b10a5664
281575fd-3f48-47df-85a9-33abd083f0a8,d4b4c89e-7389-4615-a057-3f925ffd5339,278328f8-570f-4c7d-ae38-dfd3b10a5664
cde6ecb3-73fb-4890-8030-9d9be2f241cb,d56a287f-01f3-4443-81ef-581d2be83ad9,278328f8-570f-4c7d-ae38-dfd3b10a5664
fa0c5e39-963d-4705-a304-38daf8a143ab,8ba41be5-100c-42ba-a125-85d00a96687d,278328f8-570f-4c7d-ae38-dfd3b10a5664
34dc1a74-64b5-4e0f-9947-be5c56ee19cf,8fb1f32b-d3df-4d79-a120-121c1896ecce,278328f8-570f-4c7d-ae38-dfd3b10a5664
566252cf-905d-4882-9c12-24341a623e58,22a30d63-73a2-45b6-9c61-52a000ffaf4e,278328f8-570f-4c7d-ae38-dfd3b10a5664
28067931-7afb-4300-a666-5b67e4caacb8,f766545c-2516-48a1-aac9-70265c7b4652,278328f8-570f-4c7d-ae38-dfd3b10a5664
92e09063-9748-41a9-89e2-d5c90f1cf3b4,2a375734-13b0-4bb1-ad97-bce841fa49c0,278328f8-570f-4c7d-ae38-dfd3b10a5664
53d126d9-39f9-4464-8831-c72a27169c4f,683cef32-5c4e-4e3e-9065-8d98772c9149,278328f8-570f-4c7d-ae38-dfd3b10a5664
24c4c0e3-38ef-4c38-87cc-0e0e94fec439,58c1a03e-9644-4223-8c67-0e8267f8ef66,278328f8-570f-4c7d-ae38-dfd3b10a5664
ce00b0e9-cb90-4aa4-a425-ebce2bee13c3,3d8382b8-8a3d-4f14-9f80-3dd363a76211,278328f8-570f-4c7d-ae38-dfd3b10a5664
d6a8144f-4734-4d02-a1e0-53e8a4ebd641,6823b378-f5f6-4e2f-a536-de3d6ef541bf,278328f8-570f-4c7d-ae38-dfd3b10a5664
6541214b-1f89-4357-8307-a6e2ab3fc5a9,85350f64-65f8-4506-9a6a-8d813b23f8e3,278328f8-570f-4c7d-ae38-dfd3b10a5664
5cb9c93a-c4b3-4d7b-8be1-157ec0c4d302,53298b53-7cd0-4d20-b5cd-f7c5f6b55de4,278328f8-570f-4c7d-ae38-dfd3b10a5664
d3bd679a-9640-4cb0-8d7b-b6769ddc28ac,9a37bdec-c87e-4fad-b3a0-7c7ced6427d9,278328f8-570f-4c7d-ae38-dfd3b10a5664
fd878ec8-7a29-4700-afd9-338bdcaace8d,7c7b61de-d6ff-4fac-aeab-676914307250,278328f8-570f-4c7d-ae38-dfd3b10a5664
5dc847ee-e573-47ce-993d-ba2e0d8f600a,f06f63a6-d9df-4aa2-8eef-e7dc99296b50,278328f8-570f-4c7d-ae38-dfd3b10a5664
efe99247-cf7d-4a13-92e6-f4186cafcef5,1a3f2f08-2e54-45ca-897e-859853872251,278328f8-570f-4c7d-ae38-dfd3b10a5664
dcdb62bb-d2d8-40b1-8531-360629ec2ebe,2d419054-02ee-40c3-b3d4-aa5dcab70ba7,278328f8-570f-4c7d-ae38-dfd3b10a5664
33661c51-fdd3-4798-9684-8c4bd27a2f6b,187f37ee-e18b-425b-a360-93be93fa26a0,278328f8-570f-4c7d-ae38-dfd3b10a5664
d2b28918-32a5-429b-b5ce-df85e0ce2fd2,db2390bb-09b4-46d3-9200-00035c532051,278328f8-570f-4c7d-ae38-dfd3b10a5664
cd18749c-0d3c-4d8f-a33b-e529f26c723c,4f08c2bc-995f-4111-9f89-4f632560319e,278328f8-570f-4c7d-ae38-dfd3b10a5664
d7c14619-d8d4-4d34-a96a-b624e4c7e787,c0187d3f-d340-4e77-ac98-93c34fc25ed2,278328f8-570f-4c7d-ae38-dfd3b10a5664
7136cc15-3220-4ec6-9983-b0c82cc3a213,b6b88dca-d4f1-4ac8-bef3-05adb40b5eea,278328f8-570f-4c7d-ae38-dfd3b10a5664
2b3439ee-1baa-40f0-91e4-88690a7e39ec,4925b5b8-af47-4abf-a1e1-51d9d97e1a4c,278328f8-570f-4c7d-ae38-dfd3b10a5664
7d1d13d4-c044-4969-be42-eaf3b6664367,56243bb7-d8e5-4563-b900-b265350a207b,278328f8-570f-4c7d-ae38-dfd3b10a5664
f996ece9-0c17-4210-b309-cba874d5e03d,c699029b-ef44-409e-86d5-e299e71b9937,278328f8-570f-4c7d-ae38-dfd3b10a5664
126e65df-5a3e-4ae4-9e71-4f3ebc502135,9f158971-e283-4edb-b939-78400c268d62,278328f8-570f-4c7d-ae38-dfd3b10a5664
e901c5f6-cf28-4251-ac5d-ac649929ccbd,cfa36fc2-d07d-4543-ad2b-cba2342b5e19,278328f8-570f-4c7d-ae38-dfd3b10a5664
43c8801e-acb4-4abb-8eda-bb592d082ab1,87c82e25-8987-4b5d-a2f1-971f9acd43ba,278328f8-570f-4c7d-ae38-dfd3b10a5664
4544b6ff-edb3-41a0-9e75-2cfad3071fd0,f187fb59-76e2-44ae-a1dd-27269434df30,278328f8-570f-4c7d-ae38-dfd3b10a5664
d892fadb-085b-4a8c-8898-cdbba1ec9872,80eab064-1e8a-43e3-bae9-b629ee7f8da7,278328f8-570f-4c7d-ae38-dfd3b10a5664
a0b57339-68f9-4eb8-bf64-8bf4d47d2f9b,3605a94c-21c2-44cc-b236-bb0a4fcd35e1,278328f8-570f-4c7d-ae38-dfd3b10a5664
7e7c6121-88d7-421b-900c-38dcec0192aa,29355372-664f-4836-b9bc-51e08609baf5,278328f8-570f-4c7d-ae38-dfd3b10a5664
deac7490-30a8-42fe-acd2-8c25b49f04b8,330da7d3-e9f3-49c9-a7f4-62764ccadd8d,278328f8-570f-4c7d-ae38-dfd3b10a5664
0f33092e-9a5c-4ae1-b02c-1b8ceb97be71,e24a18f9-91b1-4a7d-9d3a-9b3547985bee,278328f8-570f-4c7d-ae38-dfd3b10a5664
02948887-a020-483b-a1c6-75f3e51e9866,e9da561e-3ab8-4778-bd01-814e7d2a92f0,278328f8-570f-4c7d-ae38-dfd3b10a5664
