name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours
Yishun/Yishun Ring Road/Blk 165,1.4355487,103.8320274,165 Yishun Ring Road,Bluecharge,2,TRUE,31,TRUE
Punggol/Punggol Walk/Blk 213/Deck 1A,1.400134,103.898428,213 Punggol Walk,Bluecharge,0,TRUE,36,TRUE
Hougang/Hougang Avenue 2/Blk 707,1.366507,103.888389,707 Hougang Avenue 2,Bluecharge,2,TRUE,32,TRUE
Bedok/Bedok Reservoir Road/Blk 609,1.33135,103.912391,609 Bedok Reservoir Road,Bluecharge,1,TRUE,34,TRUE
Jurong East/Jurong East Street 13/Blk 116,1.339583,103.734451,116 Jurong East Street 13,Bluecharge,0,TRUE,41,TRUE
Bukit Batok/Bukit Batok East Avenue 5/Blk 241A/Deck 1A,1.350931,103.755227,241A Bukit Batok East Avenue 5,Bluecharge,1,TRUE,54,TRUE
Hougang/Hougang Street 31/Blk 373A/Deck B1B,1.362366,103.890053,373A Hougang Street 31,Bluecharge,1,TRUE,43,TRUE
Pasir Ris/Pasir Ris Drive 6/Blk 417,1.372102,103.955033,417 Pasir Ris Drive 6,Bluecharge,1,TRUE,35,TRUE
Serangoon/Serangoon Avenue 4/Blk 212,1.356934,103.873229,212 Serangoon Avenue 4,Bluecharge,2,TRUE,36,TRUE
Hougang/Hougang Avenue 9/Blk 966A/Deck 1A,1.377891,103.877869,966A Hougang Avenue 9,Bluecharge,3,TRUE,41,TRUE
Sengkang/Anchorvale Street/Blk 329/Deck 1A,1.39634,103.889296,329 Anchorvale Street,Bluecharge,1,TRUE,42,TRUE
Choa Chu Kang/Choa Chu Kang Crescent/Blk 678A/Deck 1B,1.401978,103.74481,678A Choa Chu Kang Crescent,Bluecharge,2,TRUE,53,TRUE
Ang Mo Kio/Ang Mo Kio Avenue 4/Blk 114,1.372293,103.836312,114 Ang Mo Kio Avenue 4,Bluecharge,0,TRUE,38,TRUE
Kallang/Bendemeer Road/Blk 10/Deck 1A,1.315203,103.860333,10 Bendemeer Road,Bluecharge,4,TRUE,37,TRUE
Ang Mo Kio/Ang Mo Kio Avenue 6/Blk 647,1.378898,103.843833,647 Ang Mo Kio Avenue 6,Bluecharge,3,TRUE,38,TRUE
Bedok/Bedok North Street 3/Blk 534,1.333285,103.92394,534 Bedok North Street 3,Bluecharge,0,TRUE,34,TRUE
Queenstown/Commonwealth Drive/Blk 117 (Beside Blk 117 Open Space Carpark),1.306972,103.799566,117 Commonwealth Drive,Bluecharge,4,TRUE,73,TRUE
Kallang/Jalan Rajah/Blk 103,1.327411,103.852514,103 Jalan Rajah,Bluecharge,2,TRUE,27,TRUE
Bukit Batok/Bukit Batok Street 33/Blk 319,1.361125,103.746545,319 Bukit Batok Street 33,Bluecharge,3,TRUE,41,TRUE
Bishan/Bishan Street 12/Blk 112,1.346756,103.848871,112 Bishan Street 12,Bluecharge,3,TRUE,31,TRUE
Sengkang/Fernvale Street/Blk 472/Deck 1A,1.396952,103.881727,472 Fernvale Street,Bluecharge,0,TRUE,40,TRUE
Yishun/Yishun Street 51/Blk 513/Deck 2,1.415984,103.844221,513 Yishun Street 51,Bluecharge,0,TRUE,38,TRUE
Sengkang/Compassvale Road/Blk 203/Deck 1A,1.387328,103.895393,203 Compassvale Road,Bluecharge,1,TRUE,41,TRUE
Serangoon/Serangoon North Avenue 4/Blk 512A/Deck 1B,1.371005,103.8751,512A Serangoon North Avenue 4,Bluecharge,4,TRUE,51,TRUE
Ang Mo Kio/Ang Mo Kio Street 51/Blk 590/Deck 1A,1.371634,103.853064,590 Ang Mo Kio Street 51,Bluecharge,0,TRUE,47,TRUE
Sengkang/Compassvale Walk/Blk 236A/Deck 1B,1.390343,103.900021,236A Compassvale Walk,Bluecharge,0,TRUE,42,TRUE
Queenstown/Ghim Moh Road/Blk 2A/Deck 1,1.312774,103.787393,2A Ghim Moh Road,Bluecharge,4,TRUE,38,TRUE
Central/9 Raffles Place/Republic Plaza/Level 4,1.283658,103.850455,"9 Raffles Place, Republic Plaza",Bluecharge,4,TRUE,46,TRUE
Choa Chu Kang/Choa Chu Kang Avenue 4/Lot one/Deck B2,1.38525,103.744922,21 Choa Chu Kang Avenue 4,Bluecharge,0,TRUE,52,TRUE
Sentosa/50 Beach View/Basement/Beach Station(Near Beach Station Escalator),1.251171,103.819188,50 Beach View,Bluecharge,4,TRUE,74,TRUE
Central/1 Esplanade Drive/Basement 1/Lift Lobby B,1.289691,103.85577,1 Esplanade Drive,Bluecharge,4,TRUE,49,TRUE
Sentosa/1 Cove Avenue/Sentosa Cove/Blk B/Level 2,1.247741,103.840256,"1 Cove Avenue, Sentosa Cove",Bluecharge,2,TRUE,48,TRUE
Central/3E River Valley Road/Clark Quay Blk E/Level 3,1.290715,103.846146,3E River Valley Road,Bluecharge,4,TRUE,53,TRUE
Kallang/Cambridge Road/Blk 43 (Opposite NTUC),1.314899,103.849479,43 Cambridge Road,Bluecharge,4,TRUE,45,TRUE
Ang Mo Kio/Ang Mo Kio Avenue 4/Blk 110,1.370557,103.837923,110 Ang Mo Kio Avenue 4,Bluecharge,3,TRUE,38,TRUE
Yishun/Yishun Ring Road/Blk 781,1.422343,103.832121,781 Yishun Ring Road,Bluecharge,4,TRUE,31,TRUE
Tampines/Simei Road/Blk 155,1.344756,103.958393,155 Simei Road,Bluecharge,1,TRUE,27,TRUE
Bukit Timah/170 Upper Bukit Timah Road (Infront Bukit Timah Shopping Centre),1.343312,103.775637,170 Upper Bukit Timah Road,Bluecharge,4,TRUE,76,TRUE
Hougang/Hougang Avenue 6/Blk 524,1.373931,103.890352,524 Hougang Avenue 6,Bluecharge,1,TRUE,32,TRUE
Ang Mo Kio/Ang Mo Kio Avenue 10/Blk 449,1.36805,103.8558,449 Ang Mo Kio Avenue 10,Bluecharge,4,TRUE,39,TRUE
Tampines/Tampines Street 72/Blk 742A/Deck 1A,1.359905,103.934176,742A Tampines Street 72,Bluecharge,0,TRUE,44,TRUE
Novena/Tan Tock Seng Hospital/Basement 4/Near Lift Lobby D,1.321282,103.84588,11 Jalan Tan Tock Seng,Bluecharge,3,TRUE,58,TRUE
Ang Mo Kio/Ang Mo Kio Avenue 8/Blk 510,1.373288,103.849485,510 Ang Mo Kio Avenue 8,Bluecharge,0,TRUE,38,TRUE
Ang Mo Kio/Ang Mo Kio Avenue 10/Blk 559,1.371022,103.857277,559 Ang Mo Kio Avenue 10,Bluecharge,4,TRUE,39,TRUE
Pasir Ris/Pasir Ris Street 12/Blk 108A/Deck 1A,1.367987,103.956949,108A Pasir Ris Street 12,Bluecharge,0,TRUE,46,TRUE
Woodlands/Woodlands Circle/Blk 747A/Deck 1A,1.443332,103.795599,747A Woodlands Circle,Bluecharge,3,TRUE,43,TRUE
Kallang/Saint George's Road/Blk 22,1.32537,103.862659,22 Saint George's Road,Bluecharge,4,TRUE,34,TRUE
Punggol/Edgedale Plains/Blk 172/Deck 1A,1.39557,103.911788,172 Edgedale Plains,Bluecharge,0,TRUE,39,TRUE
Bukit Panjang/Petir Road/Blk 140,1.375471,103.769068,140 Petir Road,Bluecharge,0,TRUE,32,TRUE
Jurong East/Jurong East Street 32/Blk 307,1.346612,103.734402,307 Jurong East Street 32,Bluecharge,2,TRUE,41,TRUE
Bedok/Chai Chee Street/Blk 53,1.328941,103.921295,53 Chai Chee Street,Bluecharge,0,TRUE,29,TRUE
Bedok/Bedok North Road/Blk 425,1.329159,103.92944,425 Bedok North Road,Bluecharge,1,TRUE,30,TRUE
Tampines/Tampines Street 11/Blk 107,1.348142,103.947926,107 Tampines Street 11,Bluecharge,0,TRUE,35,TRUE
Queenstown/Ghim Moh Link/Blk 24/Deck 1B,1.308908,103.785607,24 Ghim Moh Link,Bluecharge,3,TRUE,39,TRUE
Jurong West/Yung An Road/Blk 364/Deck 1A,1.337184,103.720457,364 Yung An Road,Bluecharge,0,TRUE,40,TRUE
Clementi/Clementi Avenue 3/Blk 440/Deck 1A,1.31642,103.76392,440 Clementi Avenue 3,Bluecharge,0,FALSE,42,TRUE
Yishun/Yishun Street 31/Blk 333/Deck 1A,1.43154,103.844951,333 Yishun Street 31,Bluecharge,0,TRUE,39,TRUE
