id,name,latitude,longitude,address,currently_open,pv_current_in,pv_energy_level,rate_current,rate_predicted,active,last_updated
5916f753-1cb7-43ed-b96a-653f45eb68c9,Punggol/Punggol Place/Blk 273/Deck 1,1.402703,103.901963,273 Punggol Place,1,0,0,0.36,,1,2023-07-16 13:15:12.027841
ea9aa46b-523a-4a55-abb5-fd222abb5c34,Tampines/Tampines Street 91/Blk 921A/Deck 1A,1.347284,103.941371,921A Tampines Street 91,1,0,0,0.44,,1,2023-07-16 13:15:12.027841
741833bd-745e-4eff-a4a2-605b868f589b,Jurong East/Jurong East Street 21/Blk 230,1.341813,103.737565,215-230 Jurong East Street 21,1,0,0,0.41,,1,2023-07-16 13:15:12.027841
3324e396-dc91-4856-a1b0-52b27688a3b1,Ang Mo Kio/Ang Mo Kio Avenue 6/Blk 123,1.370392,103.844376,123 Ang Mo Kio Avenue 6,1,0,0,0.38,,1,2023-07-16 13:15:12.027841
3d61a7e3-57d2-4d05-b80e-f155affea32d,Jurong West/Jurong West Street 81/Blk 854A/Deck 1A,1.347775,103.696495,854A Jurong West Street 81,1,0,0,0.5,,1,2023-07-16 13:15:12.027841
51d77c73-7975-49a0-938f-cf5673e44488,Clementi/Clementi Avenue 2/Blk 334/Beside Caltex,1.314724,103.768296,334 Clementi Avenue 2,1,0,0,0.48,,1,2023-07-16 13:15:12.027841
c95fbf5f-5509-4485-8eba-5e6995e9f354,Bukit Batok/Bukit Batok Street 34/Blk 346,1.362466,103.750963,346 Bukit Batok Street 34,1,0,0,0.41,,1,2023-07-16 13:15:12.027841
d1757559-24af-46c8-adeb-74ac2cfbb40d,Tampines/Tampines Street 83/Blk 851,1.353051,103.935061,851 Tampines Street 83,1,0,0,0.35,,1,2023-07-16 13:15:12.027841
d223c81b-2b3d-4d24-b180-7c24f8e891b4,Serangoon/Upper Serangoon View/Blk 476/Deck 3,1.37738,103.903721,476 Upper Serangoon View,1,0,0,0.45,,1,2023-07-16 13:15:12.027841
2bfd7bd3-4a12-409d-82a6-6d88ce2f6f40,Bishan/Bishan Street 13/Blk 186,1.349585,103.852838,186 Bishan Street 13,1,0,0,0.31,,1,2023-07-16 13:15:12.027841
