id,name,latitude,longitude,address,provider,connectors,online,kilowatts,twenty_four_hours,last_updated
9a1f720f-27a3-4b49-88a5-829871c94266,Jurong East/8 Jurong Town Hall Road/JTC Summit/Deck B2,1.33115,103.74184,8 Jurong Town Hall Road,Bluecharge,3,TRUE,54,TRUE,2023-05-27 17:48:35.390693
68fa460a-5a7d-4045-8dc6-7491ff690ce8,Ang Mo Kio/Ang Mo Kio Avenue 9/Blk 627,1.382052,103.841393,627 Ang Mo Kio Avenue 9,Bluecharge,2,TRUE,38,TRUE,2023-05-27 17:48:35.390693
38c1735c-5a6b-4651-885f-4d08fafaacb1,Punggol/Punggol Place/Blk 273/Deck 1,1.402703,103.901963,273 Punggol Place,Bluecharge,0,TRUE,36,TRUE,2023-05-27 17:48:35.390693
fc193c6d-df6b-49a4-82d3-9e038c68bebe,Tampines/Tampines Street 91/Blk 921A/Deck 1A,1.347284,103.941371,921A Tampines Street 91,Bluecharge,4,TRUE,44,TRUE,2023-05-27 17:48:35.390693
0b44aef1-5c14-492b-b99a-6f68d8b4815e,Jurong East/Jurong East Street 21/Blk 230,1.341813,103.737565,215-230 Jurong East Street 21,Bluecharge,2,TRUE,41,TRUE,2023-05-27 17:48:35.390693
4637a412-b62e-47df-9b0b-2c6e62c22f16,Ang Mo Kio/Ang Mo Kio Avenue 6/Blk 123,1.370392,103.844376,123 Ang Mo Kio Avenue 6,Bluecharge,2,TRUE,38,TRUE,2023-05-27 17:48:35.390693
cb0a2810-a0db-4cdd-abdd-1e3c195f01d0,Jurong West/Jurong West Street 81/Blk 854A/Deck 1A,1.347775,103.696495,854A Jurong West Street 81,Bluecharge,2,TRUE,50,TRUE,2023-05-27 17:48:35.390693
bae3e787-b0fd-4057-9f07-598d3bd857fc,Clementi/Clementi Avenue 2/Blk 334/Beside Caltex,1.314724,103.768296,334 Clementi Avenue 2,Bluecharge,4,TRUE,48,TRUE,2023-05-27 17:48:35.390693
1adebb1d-2b48-4f16-a320-e5a0a8b7b05d,Bukit Batok/Bukit Batok Street 34/Blk 346,1.362466,103.750963,346 Bukit Batok Street 34,Bluecharge,1,TRUE,41,TRUE,2023-05-27 17:48:35.390693
644571e1-0df2-423c-bbf4-9ab9dba89827,Tampines/Tampines Street 83/Blk 851,1.353051,103.935061,851 Tampines Street 83,Bluecharge,0,TRUE,35,TRUE,2023-05-27 17:48:35.390693
a6e8028b-c559-4cf1-9edb-ddb92c1c0ad9,Serangoon/Upper Serangoon View/Blk 476/Deck 3,1.37738,103.903721,476 Upper Serangoon View,Bluecharge,1,TRUE,45,TRUE,2023-05-27 17:48:35.390693
2a87beb3-9553-42aa-8f03-e5cfebc9f447,Bishan/Bishan Street 13/Blk 186,1.349585,103.852838,186 Bishan Street 13,Bluecharge,4,TRUE,31,TRUE,2023-05-27 17:48:35.390693
d08608c7-92ab-4926-a6ab-19b448dd8651,Geylang/Ubi Avenue 1/Blk 326,1.327319,103.904146,326 Ubi Avenue 1,Bluecharge,0,TRUE,28,TRUE,2023-05-27 17:48:35.390693
ed532d76-a05c-440b-8d6f-3fe6baa79d66,Geylang/52 Sims Place/Along Sims Place,1.316531,103.880106,52 Sims Place,Bluecharge,2,TRUE,38,TRUE,2023-05-27 17:48:35.390693
3b4c7aa6-b8c5-4033-a728-8e56afdb4c5c,Marine Parade/Across 343 Telok Karau Road/Beside St'Patrick's Court,1.308605,103.912432,Across 343 Telok Kurau Road,Bluecharge,0,TRUE,67,TRUE,2023-05-27 17:48:35.390693
ff9fe842-9768-436c-8b84-8aa5292b8f68,Hougang/Hougang Street 92/Blk 941A/Deck 1A,1.374287,103.87912,941A Hougang Street 92,Bluecharge,1,TRUE,42,TRUE,2023-05-27 17:48:35.390693
74cebe4f-f8c0-4f8d-b659-d1175e57a0cb,Jurong West/Jurong West Street 91/Blk 903,1.339625,103.686256,903 Jurong West Street 91,Bluecharge,0,FALSE,41,TRUE,2023-05-27 17:48:35.390693
5246d5e6-920b-46fc-8d77-663c42f72d26,Toa Payoh/Potong Pasir Avenue 1/Blk 117,1.336558,103.863104,117 Potong Pasir Avenue 1,Bluecharge,4,TRUE,39,TRUE,2023-05-27 17:48:35.390693
55554921-e51e-4c55-8122-6c34c4372dfb,Yishun/Yishun Ring Road/Blk 165,1.4355487,103.8320274,165 Yishun Ring Road,Bluecharge,2,TRUE,31,TRUE,2023-05-27 17:48:35.390693
397a25b6-fcc2-4a6b-9f40-ac91b3cc7593,Punggol/Punggol Walk/Blk 213/Deck 1A,1.400134,103.898428,213 Punggol Walk,Bluecharge,0,TRUE,36,TRUE,2023-05-27 17:48:35.390693
