id,id_charger,id_connector_type,in_use,output_current
5e32a7ea-82f7-45cc-bace-b8e5c6eabdde,32dc266b-8cfa-46e7-b48f-0311d9eca024,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
c7e24657-b913-40a6-a919-535a89d731c9,32dc266b-8cfa-46e7-b48f-0311d9eca024,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
59606523-c9a2-42dc-a190-1bf06f8756d7,32dc266b-8cfa-46e7-b48f-0311d9eca024,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
36660de4-c44b-48c3-8cb6-44cd83f201c0,33be1f7f-1499-4cab-899d-4a20ac972278,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
a48a7800-4a88-41f0-86e8-f03f89ae6287,a3ffece9-40c4-499e-aa77-f0f44b01d13a,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
47716fcb-a826-4a1e-b210-f26856c8527d,a3ffece9-40c4-499e-aa77-f0f44b01d13a,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
454768f5-3934-44a3-9f2e-eabcb2ef78f6,a3ffece9-40c4-499e-aa77-f0f44b01d13a,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
8bf63b0a-ebef-48dd-8abd-d69123064cd4,80616736-218c-4d72-877e-eef03446a9dc,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
29eba352-5a5b-4918-a8d6-d2479a674b8b,80616736-218c-4d72-877e-eef03446a9dc,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
65d60705-4fad-4626-a0fc-4ea81708ecc8,234056a7-a7b2-4936-8cef-b42071d5d548,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
9081fae6-cfe0-43df-b675-715f2bb624d8,c1c2b43d-0396-4b3c-839b-ccc8ee34eeae,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
2d80715b-5a87-4b40-a0d0-179575add19b,564374cd-5294-4390-9460-06c023a253ae,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
f01fbdc8-cf91-42dc-b6cc-5972afa02d89,620b9a8f-b57c-40f4-a4d3-44a6ac570ce1,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
a7ba8aa3-92ea-490e-8bae-3a7f8b6cd705,620b9a8f-b57c-40f4-a4d3-44a6ac570ce1,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
9b04f01e-ec79-433b-ad60-d4383d6c6e3a,afe29f00-22ab-4e38-9508-71eb1af0da31,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
f352a421-103a-4ca7-b306-713a85e8b63f,cac7f4ea-adab-4ab7-b9ed-f42156d34be9,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
b177c373-6cf9-4628-b54c-1f43ebd17b30,cac7f4ea-adab-4ab7-b9ed-f42156d34be9,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
fbe80824-dbff-4481-a7df-866a8c05bfd5,a5ef032b-2188-4e70-b05d-30f219aff0a2,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
dfaac079-3439-4392-9f22-b7a5716e9a9f,a5ef032b-2188-4e70-b05d-30f219aff0a2,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
659d3dcc-2bb3-40ca-b547-ae0293abd0eb,a5ef032b-2188-4e70-b05d-30f219aff0a2,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
1a9be9e2-5490-4c1d-9593-0ad84135246f,7bc37501-cd0c-4bde-b96c-b419146a3e38,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
8cfb88f4-c6a9-4d48-a994-327a50bb8734,7bc37501-cd0c-4bde-b96c-b419146a3e38,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
b71266cd-ee31-41b7-9c25-9228b451d70f,d86b77f9-086f-44f0-a1eb-bd9022dcb706,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
9708c2ba-e83b-436d-9646-c1401e061fb5,d86b77f9-086f-44f0-a1eb-bd9022dcb706,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
93c99bb5-e217-4b3f-9045-579c96a35355,d86b77f9-086f-44f0-a1eb-bd9022dcb706,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
6de367ff-fd1b-402e-9a66-a63f8000ae0c,fe008b82-caf3-4242-b392-eba9c9142844,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
d5e7527e-0ed3-403d-9552-102026de2128,fe008b82-caf3-4242-b392-eba9c9142844,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
87b91338-bac0-4f09-8e35-d25bf9967312,07327501-3119-41c7-a3a1-29d3762ea087,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
424ab032-f753-4b32-be35-484c1263c7f5,07327501-3119-41c7-a3a1-29d3762ea087,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
5d9c3779-2c7f-4206-9f26-c8b9a6f5d49b,b9e9b82d-b490-4186-bfe3-71bade9d04bc,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
625eb220-a751-4e5c-88cf-4dc3b25afe1e,bf70f78d-7ddd-430e-b771-c375bae2e8b7,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
6fb6889f-4c81-49f9-9e42-bb8dfe7ba375,bf70f78d-7ddd-430e-b771-c375bae2e8b7,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
85b30f40-929b-449b-948f-a92f03386da7,2e90a083-649a-432c-a32b-b2d90fd65164,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
d79055b3-3371-4339-bf8b-4c2a49eef0d8,2e90a083-649a-432c-a32b-b2d90fd65164,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
9a4611d4-fa48-4ee7-9dd8-5b3bee4da54d,ae9ed536-13a7-4f08-92a7-00d941a3479a,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
d7ed28dd-c1e6-41bc-829c-e29ed9dafb53,ae9ed536-13a7-4f08-92a7-00d941a3479a,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
623abc45-c9f6-4466-ae2c-9863f2cfe223,5e78f8f6-9f57-4fb5-87e4-895f449e3005,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
3c1a36b6-e806-4686-ad2a-1d3dfed3f3ca,5e78f8f6-9f57-4fb5-87e4-895f449e3005,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
6a8d2e50-4db2-486f-98de-fe2f813a43c2,89120566-1668-453e-a202-d604ff548035,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
e84dc2c8-5a27-4df1-9154-c3e760f818ba,be9250b3-deea-463f-b29a-fffff1e68634,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
f54034b5-b72f-4607-87f7-cf1138b55c25,be9250b3-deea-463f-b29a-fffff1e68634,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
e9c58757-bca2-4046-a522-7b52ad47bbd0,8b3a8f8a-662c-4bdb-bbe9-447299c42622,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
539e906f-6c90-4321-97cf-f121f738d535,2ff8679d-56e9-486f-924b-50bc5ea2458b,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
4c60d61f-d9d9-4ba4-befb-c9b8f9ec470c,2ff8679d-56e9-486f-924b-50bc5ea2458b,806bd892-8348-4ac0-bf85-783cfdfa04ce,false,0
e7e1de0c-bf22-441c-a2fd-0cc102f8df8a,3b6333e3-5b8c-47fb-928d-e1af945a4ae7,42ad1d26-5f9e-40a3-a136-0c601ea749c8,false,0
4bfee46d-05bf-4d3c-a31e-cf7d4d7e91ac,265d458d-1207-470b-86b4-83b0ab9bd0b6,b61c896b-fa08-4cd9-b197-3b761fea353e,false,0
