id,name_short,name_long,name_connector
42ad1d26-5f9e-40a3-a136-0c601ea749c8,AC,Alternating Current,J1772
b61c896b-fa08-4cd9-b197-3b761fea353e,DC,Direct Current,Type 2
806bd892-8348-4ac0-bf85-783cfdfa04ce,Dual,AC/DC,CCS
