id,name,latitude,longitude,address,currently_open,pv_current_in,pv_energy_level,rate_current,rate_predicted,active,last_updated
32dc266b-8cfa-46e7-b48f-0311d9eca024,Queenstown/Science Park Dr/DNV GL/Lobby,1.29014253616333,103.786895751953,"16, Science Park Dr",true,0,0,0.39,,true,2023-07-14 20:56:29.059062
33be1f7f-1499-4cab-899d-4a20ac972278,Central/Claymore Rd/21,1.3077385,103.8301985,Claymore Road 21,true,0,0,0.22,,true,2023-07-14 20:56:29.059062
a3ffece9-40c4-499e-aa77-f0f44b01d13a,Queenstown/Holland Dr/Blk 18/Deck 1A,1.3118,103.79207,18 Holland Drive,true,0,0,0.36,,true,2023-07-14 20:56:29.059062
80616736-218c-4d72-877e-eef03446a9dc,Central/Mohamed Sultan Rd/28,1.29288,103.8413,28 Mohamed Sultan Road,true,0,0,0.28,,true,2023-07-14 20:56:29.059062
234056a7-a7b2-4936-8cef-b42071d5d548,Yishun/Yishun St 22/Blk265,1.4369706,103.8383619,265 Yishun Street 22,true,0,0,0.26,,true,2023-07-14 20:56:29.059062
c1c2b43d-0396-4b3c-839b-ccc8ee34eeae,Tampines/Simei St 1/Blk 108,1.343322,103.951077,108 Simei Street 1,true,0,0,0.27,,true,2023-07-14 20:56:29.059062
564374cd-5294-4390-9460-06c023a253ae,Ang Mo Kio/Ang Mo Kio Av 4/Blk 157,1.3751449,103.839079,157 Ang Mo Kio Avenue 4,true,0,0,0.34,,true,2023-07-14 20:56:29.059062
620b9a8f-b57c-40f4-a4d3-44a6ac570ce1,Tampines/Tampines St 41/Blk 420,1.357537,103.947125,420 Tampines Street 41,true,0,0,0.31,,true,2023-07-14 20:56:29.059062
afe29f00-22ab-4e38-9508-71eb1af0da31,Queenstown/Fusionopolis Pl/1/Deck B4,1.29866,103.78748,1 Fusionopolis Place,true,0,0,0.36,,true,2023-07-14 20:56:29.059062
cac7f4ea-adab-4ab7-b9ed-f42156d34be9,Tampines/Simei Street 1/Blk 132,1.3472048,103.9562201,132 Simei Street 1,true,0,0,0.31,,true,2023-07-14 20:56:29.059062
a5ef032b-2188-4e70-b05d-30f219aff0a2,Tampines/Tampines Avenue 4/Blk 902,1.351249,103.939541,902 Tampines Avenue 4,true,0,0,0.34,,true,2023-07-14 20:56:29.059062
7bc37501-cd0c-4bde-b96c-b419146a3e38,Queenstown/11 Biopolis Way/Helios/Deck B2,1.304152,103.791778,11 Biopolis Way,true,0,0,0.41,,true,2023-07-14 20:56:29.059062
d86b77f9-086f-44f0-a1eb-bd9022dcb706,Yishun/Yishun Ring Road/Blk 853,1.416593,103.836526,850 to 855 Yishun Ring Road,true,0,0,0.31,,true,2023-07-14 20:56:29.059062
fe008b82-caf3-4242-b392-eba9c9142844,Geylang/Haig Road/Blk 8,1.31379,103.896451,8 Haig Road,true,0,0,0.23,,true,2023-07-14 20:56:29.059062
07327501-3119-41c7-a3a1-29d3762ea087,Clementi/Clementi West Street 1/Blk 602,1.304373,103.766838,Blk 602 Clementi West Street 1,true,0,0,0.39,,true,2023-07-14 20:56:29.059062
b9e9b82d-b490-4186-bfe3-71bade9d04bc,Jurong West/Boon Lay Drive/Blk 188,1.344062,103.711245,188 Boon Lay Drive,true,0,0,0.34,,true,2023-07-14 20:56:29.059062
bf70f78d-7ddd-430e-b771-c375bae2e8b7,Bedok/Chai Chee Avenue/Blk 37,1.325325,103.925817,37 Chai Chee Avenue,true,0,0,0.29,,true,2023-07-14 20:56:29.059062
